beryllium, animal brooch, seductress, tall, narrow hips, triangular face, fair skin, dark brown hair, coral eyes, long nose, thick lips, round chin, long hair, thick hair, formal braided updo, round breasts, hoop earrings, silver, velvet lipstick, purple velvet bra and panty set with lace trim
beryllium, collar necklace, mistress, short, in shape, round face, fair skin, blonde hair, peach eyes, short nose, pouty lips, sharp chin, shoulder-length hair, thick hair, side bangs, full breasts, stud earrings, lavender, metallic lipstick, cream sequin bra and pant set
beryllium, cuff bracelet, miss, average height, wide hips, round face, dark skin, platinum blonde hair, sapphire eyes, wide nose, thick lips, prominent chin, long hair, coarse hair, short afro, full breasts, drop earrings, golden, metallic lipstick, black lace bustier
beryllium, flower brooch, lady, average height, firm, heart-shaped face, dark skin, blonde hair, red eyes, short nose, full lips, prominent chin, long hair, curly hair, high chignon, soft breasts, stud earrings, peach, cream lipstick, black sheer teddy with floral applique
beryllium, flower brooch, mistress, short, toned, oval face, olive skin, strawberry blonde hair, brown eyes, wide nose, pouty lips, round chin, shoulder-length hair, thick hair, fishbone braid, round breasts, dangle earrings, berry, cream lipstick, purple velvet robe with fur trim
beryllium, flower brooch, vixen, average height, toned, heart-shaped face, fair skin, dark brown hair, gold eyes, short nose, thick lips, prominent chin, shoulder-length hair, coarse hair, tapered afro, asymmetrical breasts, hoop earrings, golden, velvet lipstick, black leather bralette and panty set
beryllium, friendship bracelet, charmer, tall, thin, oval face, olive skin, golden blonde hair, yellow eyes, short nose, pouty lips, receding chin, shoulder-length hair, wavy hair, braided headband, round breasts, dangle earrings, violet, satin lipstick, tan faux leather slip dress
beryllium, friendship bracelet, songstress, average height, thin, oval face, fair skin, strawberry blonde hair, amber eyes, wide nose, pouty lips, prominent chin, shoulder-length hair, wavy hair, frohawk, natural breasts, dangle earrings, brown, gloss lipstick, olive green mesh garter belt with stockings
beryllium, locket necklace, luminary, average height, toned, square face, dark skin, red hair, ice blue eyes, narrow nose, pouty lips, sharp chin, long hair, thick hair, fishtail braid, round breasts, huggie earrings, grape, velvet lipstick, black leather bralette and panty set
beryllium, locket necklace, seductress, average height, firm, heart-shaped face, fair skin, blonde hair, hazel eyes with green flecks, narrow nose, thin lips, round chin, long hair, thick hair, loose waves, natural breasts, stud earrings, beige, metallic lipstick, tan faux leather slip dress
beryllium, locket necklace, vixen, average height, fit, diamond-shaped face, olive skin, honey blonde hair, dark brown eyes, straight nose, thin lips, receding chin, shoulder-length hair, straight hair, messy bun, augmented breasts, faux gauge earrings, cherry, matte lipstick, lavender lace bra and panty set
beryllium, locket necklace, woman, average height, athletic, diamond-shaped face, dark skin, dark brown hair, green eyes, narrow nose, pouty lips, prominent chin, long hair, wavy hair, wavy layered bob, natural breasts, stud earrings, berry, stain lipstick, grey faux leather corset
beryllium, necklace, artist, tall, athletic, round face, olive skin, platinum blonde hair, hazel eyes, [[curved nose]], thin lips, prominent chin, shoulder-length hair, curly hair, bob with bangs, perky breasts, threader earrings, peach, stain lipstick, gold mesh bra and panty set with garter belt
beryllium, pendant, gal, average height, thin, square face, tan skin, silver hair, grey-blue eyes, short nose, thick lips, prominent chin, long hair, wavy hair, dutch braid, large breasts, huggie earrings, nude, gloss lipstick, purple velvet slip with lace trim
beryllium, slave bracelet, starlet, average height, skinny, oval face, olive skin, platinum blonde hair, amethyst eyes, long nose, pouty lips, prominent chin, long hair, coarse hair, middle part bangs, soft breasts, hoop earrings, pink, matte lipstick, yellow lace halter bralette and thong set
beryllium, slave bracelet, vixen, average height, fit, diamond-shaped face, tan skin, auburn hair, red eyes, short nose, thin lips, receding chin, long hair, thick hair, afro, augmented breasts, hoop earrings, rust, velvet lipstick, turquoise sheer chemise with cutouts
beryllium, statement necklace, diva, tall, slim, square face, tan skin, honey blonde hair, ice blue eyes, narrow nose, thin lips, receding chin, long hair, fine hair, high chignon, augmented breasts, drop earrings, rose, matte lipstick, blue strappy bodysuit with cutouts
beryllium, tassel necklace, femme fatale, short, thin, square face, dark skin, blonde hair, blue eyes with green flecks, straight nose, full lips, prominent chin, long hair, fine hair, chignon, asymmetrical breasts, hoop earrings, fuchsia, stain lipstick, black leather bralette and panty set
beryllium, toe ring, heiress, short, lean, triangular face, olive skin, dark brown hair, peach eyes, straight nose, full lips, sharp chin, long hair, straight hair, long curled updo, saggy breasts, cuff earrings, red, stain lipstick, turquoise sheer chemise with cutouts
beryllium, toe ring, heiress, short, slim, triangular face, fair skin, dark brown hair, teal eyes, wide nose, pouty lips, sharp chin, long hair, curly hair, formal updo, soft breasts, hoop earrings, terracotta, stain lipstick, red satin kimono with lace sleeve detail
beryllium, toe ring, queen, short, slim, diamond-shaped face, fair skin, auburn hair, brown eyes, wide nose, full lips, receding chin, long hair, coarse hair, dutch braid, firm breasts, threader earrings, berry, sheer lipstick, silver sequin bralette
beryllium, torc necklace, dame, average height, athletic, oval face, tan skin, red hair, grey-blue eyes, straight nose, full lips, sharp chin, shoulder-length hair, coarse hair, curled bob, perky breasts, faux gauge earrings, gloss, stain lipstick, pink floral corset
beryllium, torc necklace, female warrior, average height, narrow hips, heart-shaped face, olive skin, white hair, brown eyes, narrow nose, pouty lips, sharp chin, shoulder-length hair, thick hair, high bun, natural breasts, huggie earrings, plum, sheer lipstick, maroon satin and lace corset
beryllium, torc necklace, gal, tall, lean, round face, olive skin, light brown hair, amber eyes, straight nose, full lips, receding chin, long hair, curly hair, lace braid, firm breasts, hoop earrings, lavender, velvet lipstick, blue strappy bodysuit with cutouts
beryllium, torc necklace, luminary, tall, narrow hips, diamond-shaped face, tan skin, red hair, ice blue eyes, straight nose, pouty lips, receding chin, long hair, fine hair, beach waves, asymmetrical breasts, threader earrings, beige, sheer lipstick, red satin kimono with lace sleeve detail
beryllium, vintage brooch, heiress, short, narrow hips, round face, fair skin, silver hair, blue eyes with green flecks, narrow nose, pouty lips, receding chin, shoulder-length hair, curly hair, layered bob, natural breasts, hoop earrings, pink, matte lipstick, ivory lace teddy
beryllium, vintage brooch, lady, average height, lean, round face, dark skin, silver hair, coral eyes, [[curved nose]], full lips, prominent chin, shoulder-length hair, curly hair, braided headband, firm breasts, faux gauge earrings, berry, sheer lipstick, green satin robe with lace trim
beryllium, vintage brooch, siren, tall, athletic, round face, tan skin, gray hair, ruby eyes, long nose, thin lips, prominent chin, long hair, fine hair, long curled updo, round breasts, huggie earrings, silver, velvet lipstick, yellow lace halter bralette and thong set
beryllium, vintage brooch, visionary, tall, thin, round face, dark skin, blonde hair, red eyes, narrow nose, pouty lips, sharp chin, long hair, curly hair, fishtail braid, full breasts, dangle earrings, teal, gloss lipstick, yellow lace halter bralette and thong set
cadmium, animal brooch, female warrior, tall, toned, square face, fair skin, black hair, amber eyes, narrow nose, thick lips, round chin, long hair, curly hair, french roll, augmented breasts, hoop earrings, soft pink, cream lipstick, gold mesh bra and panty set with garter belt
cadmium, animal brooch, maven, average height, fit, round face, fair skin, black hair, green eyes, short nose, pouty lips, sharp chin, long hair, coarse hair, french twist, large breasts, cuff earrings, golden, satin lipstick, gold strappy bodysuit
cadmium, animal brooch, phenom, average height, slim, triangular face, tan skin, strawberry blonde hair, gold eyes, short nose, thick lips, prominent chin, shoulder-length hair, thick hair, low updo, round breasts, drop earrings, soft pink, velvet lipstick, pink floral corset
cadmium, ankle bracelet, madame, short, athletic, oval face, olive skin, black hair, pink eyes, short nose, thick lips, round chin, shoulder-length hair, coarse hair, bob with bangs, perky breasts, clip-on earrings, gloss, satin lipstick, black mesh bodysuit with embroidered flowers
cadmium, ankle cuff, seductress, tall, fit, square face, fair skin, golden blonde hair, red eyes, narrow nose, thin lips, prominent chin, shoulder-length hair, thick hair, rope braid, small breasts, huggie earrings, soft pink, velvet lipstick, black lace bustier
cadmium, ankle strap, escort, tall, toned, diamond-shaped face, dark skin, golden blonde hair, ice blue eyes, long nose, full lips, prominent chin, long hair, coarse hair, double braided crown, saggy breasts, stud earrings, green, metallic lipstick, plum satin and lace bustier
cadmium, ankle strap, female viking, average height, narrow hips, square face, dark skin, platinum blonde hair, blue eyes, straight nose, full lips, sharp chin, long hair, thick hair, messy bun, soft breasts, hoop earrings, beige, velvet lipstick, white sheer teddy with lace trim
cadmium, ankle strap, seductress, tall, thin, diamond-shaped face, tan skin, black hair, ruby eyes, wide nose, thin lips, round chin, long hair, coarse hair, loose waves, round breasts, clip-on earrings, teal, metallic lipstick, black leather bralette and panty set
cadmium, ankle strap, superwoman, short, slim, oval face, fair skin, strawberry blonde hair, coral eyes, straight nose, full lips, receding chin, shoulder-length hair, thick hair, curly afro, perky breasts, hoop earrings, brown, metallic lipstick, crimson velvet cami and short set
cadmium, anklet, mistress, tall, lean, square face, tan skin, black hair, blue eyes with green flecks, narrow nose, pouty lips, receding chin, shoulder-length hair, wavy hair, high chignon, small breasts, stud earrings, grape, sheer lipstick, brown strappy bodysuit
cadmium, anklet, superwoman, tall, in shape, oval face, olive skin, strawberry blonde hair, blue eyes with green flecks, wide nose, pouty lips, receding chin, long hair, straight hair, sleek straight hair, natural breasts, cuff earrings, beige, gloss lipstick, silver silk bra and panty set with garter belt
cadmium, bangle bracelet, femme fatale, average height, firm, triangular face, dark skin, platinum blonde hair, jade eyes, wide nose, thin lips, round chin, shoulder-length hair, wavy hair, smooth waves, large breasts, drop earrings, hot pink, cream lipstick, tan faux leather slip dress
cadmium, beaded necklace, charmer, tall, thin, square face, dark skin, platinum blonde hair, blue eyes, narrow nose, thick lips, receding chin, shoulder-length hair, coarse hair, straight bob with layers, asymmetrical breasts, hoop earrings, cherry, metallic lipstick, pink lace garter slip with matching thong
cadmium, beaded necklace, enigma, tall, skinny, diamond-shaped face, dark skin, red hair, purple eyes, long nose, thin lips, prominent chin, long hair, wavy hair, low messy bun, firm breasts, cuff earrings, gloss, metallic lipstick, yellow lace halter bralette and thong set
cadmium, beaded necklace, queen, tall, thin, triangular face, dark skin, dark brown hair, black eyes, wide nose, thin lips, receding chin, shoulder-length hair, coarse hair, afro, asymmetrical breasts, faux gauge earrings, lavender, matte lipstick, teal velvet chemise with ruffles
cadmium, bib necklace, luminary, short, fit, heart-shaped face, tan skin, auburn hair, ruby eyes, straight nose, pouty lips, prominent chin, long hair, thick hair, messy beach waves, asymmetrical breasts, huggie earrings, pink, satin lipstick, yellow mesh bralette and high-waisted panty set
cadmium, bracelet, heiress, average height, lean, round face, tan skin, brunette hair, black eyes, short nose, pouty lips, sharp chin, shoulder-length hair, curly hair, wavy updo, firm breasts, threader earrings, shimmer, matte lipstick, lavender lace bra and panty set
cadmium, bracelet, phenom, tall, in shape, square face, fair skin, gray hair, teal eyes, narrow nose, full lips, sharp chin, shoulder-length hair, straight hair, fringed bangs, soft breasts, drop earrings, terracotta, satin lipstick, mint green mesh teddy
cadmium, bracelet, songstress, tall, athletic, heart-shaped face, fair skin, auburn hair, grey-blue eyes, short nose, full lips, sharp chin, long hair, curly hair, wedding updo, natural breasts, clip-on earrings, orange, satin lipstick, purple mesh babydoll with matching g-string
cadmium, brooch pin, empress, tall, toned, round face, olive skin, strawberry blonde hair, pink eyes, long nose, full lips, round chin, shoulder-length hair, wavy hair, high chignon, round breasts, cuff earrings, peach, velvet lipstick, mint green mesh teddy
cadmium, brooch, countess, tall, thin, diamond-shaped face, tan skin, gray hair, brown eyes, wide nose, thick lips, round chin, shoulder-length hair, fine hair, high chignon, asymmetrical breasts, threader earrings, pink, velvet lipstick, red satin babydoll
cadmium, brooch, empress, tall, narrow hips, round face, fair skin, light brown hair, coral eyes, [[curved nose]], thick lips, receding chin, long hair, thick hair, sleek waves, soft breasts, huggie earrings, lavender, velvet lipstick, black sheer teddy with floral applique
cadmium, chain bracelet, madame, average height, fit, oval face, fair skin, platinum blonde hair, coral eyes, straight nose, pouty lips, receding chin, long hair, curly hair, blunt bangs, natural breasts, threader earrings, teal, satin lipstick, red mesh chemise with strappy back detail
cadmium, chain necklace, enigma, average height, in shape, oval face, fair skin, honey blonde hair, pink eyes, long nose, pouty lips, sharp chin, shoulder-length hair, wavy hair, wavy layered bob, round breasts, clip-on earrings, cherry, matte lipstick, navy blue satin garter belt with suspenders
cadmium, charm bracelet, empress, short, fit, round face, dark skin, golden blonde hair, grey eyes, long nose, pouty lips, sharp chin, long hair, coarse hair, ballerina bun, firm breasts, drop earrings, silver, velvet lipstick, purple velvet robe with fur trim
cadmium, cocktail ring, artist, tall, wide hips, diamond-shaped face, fair skin, strawberry blonde hair, yellow eyes, straight nose, pouty lips, sharp chin, shoulder-length hair, thick hair, updo, small breasts, clip-on earrings, cherry, gloss lipstick, silver sequin bralette
cadmium, collar necklace, artist, average height, athletic, diamond-shaped face, fair skin, brunette hair, ruby eyes, straight nose, full lips, round chin, shoulder-length hair, thick hair, fringed bangs, soft breasts, clip-on earrings, brown, matte lipstick, purple velvet robe with fur trim
cadmium, collar necklace, temptress, short, slim, diamond-shaped face, fair skin, honey blonde hair, hazel eyes, wide nose, full lips, receding chin, long hair, fine hair, twisted bun, small breasts, faux gauge earrings, coral, satin lipstick, plum satin and lace bustier
cadmium, cuff bracelet, belle, short, in shape, triangular face, olive skin, silver hair, amber eyes, long nose, full lips, prominent chin, shoulder-length hair, fine hair, wavy layered bob, round breasts, huggie earrings, pink, stain lipstick, mint green mesh teddy
cadmium, cuff bracelet, diva, average height, fit, triangular face, tan skin, blonde hair, hazel eyes, long nose, full lips, round chin, long hair, thick hair, middle part bangs, augmented breasts, hoop earrings, teal, gloss lipstick, plum satin and lace bustier
cadmium, cuff bracelet, gal, tall, skinny, heart-shaped face, fair skin, blonde hair, grey-blue eyes, [[curved nose]], full lips, round chin, shoulder-length hair, wavy hair, donut bun, small breasts, threader earrings, beige, stain lipstick, blue satin and lace cami and short set
cadmium, cuff bracelet, heiress, short, narrow hips, round face, olive skin, silver hair, red eyes, long nose, pouty lips, receding chin, shoulder-length hair, thick hair, rope braid, firm breasts, drop earrings, cherry, stain lipstick, black sheer teddy with floral applique
cadmium, flower brooch, artist, average height, narrow hips, oval face, fair skin, gray hair, brown eyes, wide nose, thick lips, receding chin, shoulder-length hair, coarse hair, shaggy cut, perky breasts, faux gauge earrings, mauve, velvet lipstick, charcoal sheer bra and panty set
cadmium, flower brooch, femme fatale, short, firm, oval face, fair skin, golden blonde hair, ruby eyes, wide nose, thin lips, prominent chin, long hair, coarse hair, messy top knot, augmented breasts, faux gauge earrings, magenta, metallic lipstick, purple velvet bra and panty set with lace trim
cadmium, flower brooch, visionary, tall, lean, heart-shaped face, dark skin, strawberry blonde hair, amber eyes, straight nose, full lips, receding chin, long hair, curly hair, smooth waves, full breasts, clip-on earrings, nude, sheer lipstick, white lace bralette and boyshorts set
cadmium, friendship bracelet, charmer, average height, toned, heart-shaped face, tan skin, platinum blonde hair, aquamarine eyes, straight nose, pouty lips, round chin, long hair, straight hair, messy bun, perky breasts, huggie earrings, burgundy, gloss lipstick, green satin and lace garter belt with matching thong
cadmium, friendship bracelet, goddess, short, in shape, heart-shaped face, dark skin, light brown hair, black eyes, wide nose, thick lips, round chin, shoulder-length hair, coarse hair, braided half up, saggy breasts, dangle earrings, brown, satin lipstick, mint green mesh teddy
cadmium, friendship bracelet, seductress, tall, narrow hips, heart-shaped face, tan skin, golden blonde hair, aquamarine eyes, long nose, thin lips, sharp chin, long hair, coarse hair, fluffy afro, firm breasts, threader earrings, light pink, velvet lipstick, blue satin and lace cami and short set
cadmium, locket necklace, luminary, short, wide hips, oval face, olive skin, platinum blonde hair, ice blue eyes, narrow nose, thick lips, sharp chin, long hair, curly hair, triple braided crown, full breasts, cuff earrings, peach, matte lipstick, pink floral corset
cadmium, multi-strand necklace, baroness, tall, lean, diamond-shaped face, tan skin, red hair, hazel eyes with green flecks, straight nose, thick lips, sharp chin, long hair, straight hair, low chignon, asymmetrical breasts, drop earrings, cherry, matte lipstick, yellow lace halter bralette and thong set
cadmium, multi-strand necklace, goddess, tall, in shape, heart-shaped face, dark skin, golden blonde hair, aquamarine eyes, short nose, pouty lips, receding chin, shoulder-length hair, curly hair, side french braid, soft breasts, stud earrings, shimmer, matte lipstick, green silk bralette and panty set
cadmium, pearl necklace, baroness, short, toned, round face, fair skin, honey blonde hair, brown eyes, short nose, full lips, round chin, long hair, coarse hair, rope braid, asymmetrical breasts, cuff earrings, shimmer, velvet lipstick, cream sequin bra and pant set
cadmium, pearl necklace, lady, average height, in shape, round face, tan skin, auburn hair, blue eyes with green flecks, narrow nose, thin lips, prominent chin, shoulder-length hair, wavy hair, fauxhawk, asymmetrical breasts, stud earrings, light pink, matte lipstick, ivory lace teddy
cadmium, pearl necklace, miss, short, thin, triangular face, tan skin, black hair, silver eyes, [[curved nose]], thin lips, round chin, shoulder-length hair, curly hair, wavy updo, round breasts, dangle earrings, coral, matte lipstick, grey faux leather corset
cadmium, pendant, dame, average height, slim, diamond-shaped face, fair skin, dark brown hair, green eyes, long nose, thick lips, receding chin, shoulder-length hair, curly hair, curled bob, perky breasts, hoop earrings, light pink, metallic lipstick, navy blue satin garter belt with suspenders
cadmium, pendant, enchantress, short, fit, diamond-shaped face, tan skin, honey blonde hair, light blue eyes, short nose, full lips, receding chin, long hair, thick hair, french roll, saggy breasts, huggie earrings, pink, metallic lipstick, cream sequin bra and pant set
cadmium, tassel necklace, charmer, tall, narrow hips, square face, fair skin, chestnut hair, ice blue eyes, long nose, full lips, round chin, shoulder-length hair, straight hair, braided half up, soft breasts, cuff earrings, violet, stain lipstick, brown strappy bodysuit
cadmium, tennis bracelet, baroness, average height, thin, oval face, tan skin, platinum blonde hair, coral eyes, wide nose, thick lips, prominent chin, long hair, coarse hair, sock bun, small breasts, drop earrings, burgundy, gloss lipstick, red satin kimono with lace sleeve detail
cadmium, tennis bracelet, countess, average height, wide hips, heart-shaped face, olive skin, black hair, black eyes, narrow nose, pouty lips, prominent chin, shoulder-length hair, curly hair, tousled waves, large breasts, dangle earrings, silver, satin lipstick, yellow mesh bralette and high-waisted panty set
cadmium, tennis bracelet, duchess, tall, skinny, triangular face, dark skin, white hair, light blue eyes, long nose, thick lips, sharp chin, shoulder-length hair, coarse hair, wavy layered bob, natural breasts, clip-on earrings, terracotta, matte lipstick, brown strappy bodysuit
cadmium, tennis necklace, vixen, average height, toned, square face, dark skin, light brown hair, amethyst eyes, straight nose, thick lips, round chin, long hair, thick hair, short afro, saggy breasts, cuff earrings, terracotta, stain lipstick, purple velvet robe with fur trim
cadmium, toe ring, chanteuse, tall, toned, triangular face, tan skin, platinum blonde hair, dark brown eyes, [[curved nose]], thin lips, prominent chin, shoulder-length hair, fine hair, wavy layered bob, small breasts, cuff earrings, golden, satin lipstick, pink lace garter slip with matching thong
cadmium, toe ring, madame, average height, athletic, oval face, tan skin, chestnut hair, purple eyes, narrow nose, pouty lips, round chin, shoulder-length hair, straight hair, waterfall braid, augmented breasts, stud earrings, orange, sheer lipstick, green silk bralette and panty set
cadmium, toggle bracelet, female warrior, short, firm, square face, dark skin, brunette hair, silver eyes, straight nose, thin lips, receding chin, long hair, coarse hair, side-swept bangs, natural breasts, stud earrings, magenta, stain lipstick, fuchsia mesh halter bra and panty set
